month,branch_id,disbursements,collections,portfolio,operating_expenses,digital_transactions,portfolio_growth,collection_rate
2023-01,BR001,10600000.0,15401949,149928129,1546957,107,-4801949.0,1.0272888151628972
2023-01,BR002,7600000.0,9743293,105150220,1251359,149,-2143293.0,0.9266070009173543
2023-01,BR003,7500000.0,11095484,100494335,1084156,76,-3595484.0,1.1040904942552234
2023-01,BR004,5200000.0,7740781,78023534,891412,204,-2540781.0,0.9921084835762501
2023-01,BR005,21600000.0,22316578,229412132,2231971,140,-716578.0,0.9727723553870289
2023-01,BR006,10500000.0,12982283,140694594,1273055,162,-2482283.0,0.9227279194536785
2023-01,BR007,17900000.0,19833669,184955078,2456155,207,-1933669.0,1.0723506061293435
2023-01,BR008,8700000.0,16555872,163704735,1295715,202,-7855872.0,1.0113251763915077
2023-01,BR009,7500000.0,13738576,119724455,1310905,192,-6238576.0,1.1475162697545793
2023-01,BR010,11300000.0,15768660,151549318,1808450,283,-4468660.0,1.0404969291910637
2023-01,BR011,9900000.0,11294120,108752269,1319399,217,-1394120.0,1.0385181020912768
2023-01,BR012,10100000.0,19542459,177933069,2168498,169,-9442459.0,1.0983039358467985
2023-01,BR013,14800000.0,12885026,142950323,1841263,55,1914974.0,0.9013638954841675
2023-01,BR014,21600000.0,22507049,213510889,2619711,147,-907049.0,1.0541405689149652
2023-01,BR015,8600000.0,10722745,100642070,1160214,293,-2122745.0,1.0654336700348075
2023-01,BR016,17100000.0,16226465,167791762,2268111,166,873535.0,0.9670596939079763
2023-01,BR017,7500000.0,9037299,80875923,1022726,200,-1537299.0,1.1174276181058236
2023-01,BR018,6000000.0,9130472,90923117,1198188,50,-3130472.0,1.0041969854597042
2023-01,BR019,18000000.0,20347143,185504760,2208987,102,-2347143.0,1.0968528785999885
2023-01,BR020,12800000.0,11004952,111981764,1316046,230,1795048.0,0.9827450119467666
2023-01,BR021,10200000.0,17136765,157632902,1340154,90,-6936765.0,1.0871312259416501
2023-01,BR022,9500000.0,13361012,121903413,1346823,230,-3861012.0,1.0960326434830827
2023-01,BR023,7500000.0,13323684,115729409,1528197,144,-5823684.0,1.1512790149995495
2023-01,BR024,23300000.0,22937338,230290812,2515190,196,362662.0,0.9960162023311636
2023-01,BR025,6700000.0,8026391,83916250,845445,282,-1326391.0,0.9564763678071887
